x,y,z,labe
6.12E-17,0,1,A1
-0.199367934,-2.44E-17,0.979924705,A2
-0.390731128,-4.79E-17,0.920504853,A3
-0.566406237,-6.94E-17,0.824126189,A4
-0.664583318,0.275279424,0.69465837,A5
-0.508650051,0.508650051,0.69465837,A6
-0.596367811,0.596367811,0.537299608,A7
-0.755282431,0.548744807,0.35836795,A8
-0.797921813,0.579724131,0.165047606,A9
-0.808524163,0.587427189,-0.034899497,A10
-0.78666379,0.571544699,-0.233445364,A11
-0.733218402,0.532714351,-0.422618262,A12
-0.861949927,0.280064508,-0.422618262,A13
-0.924778749,0.30047883,-0.233445364,A14
-0.950477158,0.30882875,-0.034899497,A15
-0.938013348,0.304779012,0.165047606,A16
-0.887887748,0.288492217,0.35836795,A17
-0.779192095,0.322751933,0.537299608,A18
-0.7193398,-8.81E-17,0.69465837,A19
-0.843391446,-1.03E-16,0.537299608,A20
-0.933580426,-1.14E-16,0.35836795,A21
-0.986285602,-1.21E-16,0.165047606,A22
-0.999390827,-1.22E-16,-0.034899497,A23
-0.97236992,-1.19E-16,-0.233445364,A24
-0.906307787,-1.11E-16,-0.422618262,A25
-0.861949927,-0.280064508,-0.422618262,A26
-0.924778749,-0.30047883,-0.233445364,A27
-0.950477158,-0.30882875,-0.034899497,A28
-0.938013348,-0.304779012,0.165047606,A29
-0.887887748,-0.288492217,0.35836795,A30
-0.779192095,-0.322751933,0.537299608,A31
-0.664583318,-0.275279424,0.69465837,A32
-0.06160808,-0.189610173,0.979924705,B1
-0.276288631,-0.276288631,0.920504853,B2
-0.508650051,-0.508650051,0.69465837,B3
-0.596367811,-0.596367811,0.537299608,B4
-0.755282431,-0.548744807,0.35836795,B5
-0.797921813,-0.579724131,0.165047606,B6
-0.808524163,-0.587427189,-0.034899497,B7
-0.78666379,-0.571544699,-0.233445364,B8
-0.733218402,-0.532714351,-0.422618262,B9
-0.571544699,-0.78666379,-0.233445364,B10
-0.587427189,-0.808524163,-0.034899497,B11
-0.579724131,-0.797921813,0.165047606,B12
-0.548744807,-0.755282431,0.35836795,B13
-0.30882875,-0.950477158,-0.034899497,B14
-0.304779012,-0.938013348,0.165047606,B15
-0.288492217,-0.887887748,0.35836795,B16
-0.322751933,-0.779192095,0.537299608,B17
-0.275279424,-0.664583318,0.69465837,B18
-0.283203118,-0.49052219,0.824126189,B19
2.39E-17,-0.390731128,0.920504853,B20
3.47E-17,-0.566406237,0.824126189,B21
4.40E-17,-0.7193398,0.69465837,B22
5.16E-17,-0.843391446,0.537299608,B23
5.72E-17,-0.933580426,0.35836795,B24
6.04E-17,-0.986285602,0.165047606,B25
6.12E-17,-0.999390827,-0.034899497,B26
0.30882875,-0.950477158,-0.034899497,B27
0.304779012,-0.938013348,0.165047606,B28
0.288492217,-0.887887748,0.35836795,B29
0.322751933,-0.779192095,0.537299608,B30
0.275279424,-0.664583318,0.69465837,B31
0.283203118,-0.49052219,0.824126189,B32
0.161292047,-0.117185532,0.979924705,C1
0.276288631,-0.276288631,0.920504853,C2
0.508650051,-0.508650051,0.69465837,C3
0.596367811,-0.596367811,0.537299608,C4
0.548744807,-0.755282431,0.35836795,C5
0.579724131,-0.797921813,0.165047606,C6
0.587427189,-0.808524163,-0.034899497,C7
0.808524163,-0.587427189,-0.034899497,C8
0.797921813,-0.579724131,0.165047606,C9
0.755282431,-0.548744807,0.35836795,C10
0.49052219,-0.283203118,0.824126189,C11
0.664583318,-0.275279424,0.69465837,C12
0.779192095,-0.322751933,0.537299608,C13
0.887887748,-0.288492217,0.35836795,C14
0.938013348,-0.304779012,0.165047606,C15
0.950477158,-0.30882875,-0.034899497,C16
0.999390827,0,-0.034899497,C17
0.986285602,0,0.165047606,C18
0.933580426,0,0.35836795,C19
0.843391446,0,0.537299608,C20
0.7193398,0,0.69465837,C21
0.566406237,0,0.824126189,C22
0.390731128,0,0.920504853,C23
0.49052219,0.283203118,0.824126189,C24
0.664583318,0.275279424,0.69465837,C25
0.779192095,0.322751933,0.537299608,C26
0.887887748,0.288492217,0.35836795,C27
0.938013348,0.304779012,0.165047606,C28
0.950477158,0.30882875,-0.034899497,C29
0.808524163,0.587427189,-0.034899497,C30
0.797921813,0.579724131,0.165047606,C31
0.755282431,0.548744807,0.35836795,C32
0.161292047,0.117185532,0.979924705,D1
0.276288631,0.276288631,0.920504853,D2
0.508650051,0.508650051,0.69465837,D3
0.596367811,0.596367811,0.537299608,D4
0.548744807,0.755282431,0.35836795,D5
0.579724131,0.797921813,0.165047606,D6
0.587427189,0.808524163,-0.034899497,D7
0.30882875,0.950477158,-0.034899497,D8
0.304779012,0.938013348,0.165047606,D9
0.288492217,0.887887748,0.35836795,D10
0.322751933,0.779192095,0.537299608,D11
0.275279424,0.664583318,0.69465837,D12
0.283203118,0.49052219,0.824126189,D13
2.39E-17,0.390731128,0.920504853,D14
-0.06160808,0.189610173,0.979924705,D15
-0.276288631,0.276288631,0.920504853,D16
-0.283203118,0.49052219,0.824126189,D17
3.47E-17,0.566406237,0.824126189,D18
4.40E-17,0.7193398,0.69465837,D19
5.16E-17,0.843391446,0.537299608,D20
5.72E-17,0.933580426,0.35836795,D21
6.04E-17,0.986285602,0.165047606,D22
6.12E-17,0.999390827,-0.034899497,D23
-0.30882875,0.950477158,-0.034899497,D24
-0.304779012,0.938013348,0.165047606,D25
-0.288492217,0.887887748,0.35836795,D26
-0.322751933,0.779192095,0.537299608,D27
-0.275279424,0.664583318,0.69465837,D28
-0.548744807,0.755282431,0.35836795,D29
-0.579724131,0.797921813,0.165047606,D30
-0.587427189,0.808524163,-0.034899497,D31
-0.571544699,0.78666379,-0.233445364,D32
